message,label
We’ve noticed you haven’t logged in for a while. We miss you! Click here to see what’s new: [link].,0
Thank you for subscribing to our newsletter. You’ll be receiving updates weekly.,0
Remember our next book club meeting is on the 15th. The book this month is “To Kill a Mockingbird.”,0
Thanks for the referral! I really appreciate it.,0
Your recent transfer request has been completed. Check your account balance to confirm.,0
Hey I just finished that series you recommended—absolutely loved it! Any other suggestions?,0
Your account will be automatically renewed for the next billing cycle. No action is required.,0
Please let me know if you need help setting up the new software.,0
We've extended our store hours! We’re now open until 9 PM every weekday.,0
Thank you for your feedback! It helps us improve our services.,0
Reminder: Our customer satisfaction survey is still open. We'd love to hear your thoughts: [link to survey].,0
I found that recipe you were looking for! Sending it over now.,0
Please remember to update your profile details if anything has changed.,0
Congratulations on completing the course! Here’s your certificate: [link].,0
Your online shopping cart is still waiting for you. Don’t forget to complete your order!,0
Our office is moving to a new location. Please note our new address starting next week.,0
Thanks for attending the meeting. Here are the notes we discussed: [link to meeting notes].,0
Just wanted to say thank you again for all your help with the event planning.,0
We’re holding a giveaway to celebrate our 5th anniversary—join in for a chance to win! [link].,0
The package you ordered has been delivered to your front door.,0
You have successfully updated your contact preferences. Thank you.,0
Reminder: Flu shots are available at our clinic. Walk-ins welcome!,0
Thanks for recommending that movie. I watched it last night and loved it!,0
Your flight is confirmed for Friday July 14th. Please arrive at the airport two hours before departure.,0
Our new menu items have arrived! Come visit us and try them out.,0
Here’s your boarding pass for your upcoming flight. Have a great trip!,0
It’s your anniversary with us! Thank you for being a valued member of our community.,0
The photography workshop has been rescheduled for next Saturday at 10 AM.,0
Thank you for your patience while we processed your request. Here is the information you needed.,0
We’re looking forward to seeing you at the conference. Your badge is ready for pick-up.,0
Here’s a link to the slides from our recent webinar. Thanks for attending!,0
Hi I just wanted to remind you that your water bill is due next week. Please make sure to pay on time.,0
Your account balance is low. Please consider making a deposit to avoid overdraft charges.,0
Great news! You’ve been upgraded to our premium membership for free. Enjoy the benefits!,0
Please remember to bring your ID to the office tomorrow for the paperwork.,0
The movie night is set for Saturday at 8 PM. Don’t forget to bring your favorite snacks!,0
Thank you for your response. We will review it and get back to you shortly.,0
I can pick up the groceries on my way home if you need anything else. Let me know.,0
This is a reminder that your prescription is ready for pick-up at the pharmacy.,0
We have a new article on our blog that might interest you. Check it out here: [link].,0
Your subscription to our premium service has expired. Renew today to continue enjoying uninterrupted service.,0
Don’t forget about our game night this Friday! Hope you can make it.,0
Your requested vacation days have been approved. Enjoy your time off!,0
Reminder: Our annual company meeting will be held next Monday. Please mark your calendars.,0
We’ve updated our app! Make sure to download the latest version for new features and improvements.,0
You’re doing a fantastic job! Just wanted to let you know I appreciate your hard work.,0
The shipment is delayed due to bad weather. We apologize for the inconvenience and will keep you updated.,0
Hey I left my keys at your place yesterday. Could you bring them tomorrow if possible?,0
We received your resume and will be in touch if there is a good fit.,0
I just forwarded you the email with the event details—hope it helps!,0
Thank you for your order! You can track its progress here: [tracking link].,0
We’ve noticed some unusual activity on your account. Please check and confirm all recent transactions.,0
Our neighborhood clean-up is happening this Sunday morning. We’d love to see you there!,0
The final exam schedule is now available. Please check the attached document for your exam dates.,0
Our garden club is meeting this weekend. Bring your favorite plants to share with the group.,0
Here’s the information you requested earlier today. Let me know if you need anything else.,0
Don’t forget that our store is running a special offer this weekend—everything is 15% off!,0
Just a heads-up I’ll be running late for dinner tonight. Don’t wait up for me!,0
